method,seed,scenario,episode,success,steps,failure_step,recovery_step,post_failure_chain_recovered,t_recovery_steps,action_hash
full,1,dropout030_delay2_relay_failure,95,1,45,39,45,1,2.0,a95c7ff843804210
full,1,dropout030_delay2_relay_failure,92,1,48,39,48,1,5.0,6a053a1ba563c69a
full,1,dropout030_delay2_relay_failure,94,1,48,39,48,1,5.0,5189bad64b16106e
full,1,dropout030_delay2_relay_failure,93,0,260,39,-1,0,220.0,bca603e0b3221bfe
full,1,dropout030_delay2_relay_failure,98,1,44,39,44,1,1.0,ba274a57c831da7d
full,1,dropout030_delay2_relay_failure,96,1,45,39,45,1,2.0,2089ef6b5cce9eee
full,1,dropout030_delay2_relay_failure,97,1,47,39,47,1,4.0,5360c2c2c825f99b
full,1,dropout030_delay2_relay_failure,99,1,49,39,49,1,6.0,f6dea9c501d78def
full,1,dropout030_delay2_relay_failure_early,0,1,45,24,45,1,17.0,b5c3dec6f2931686
full,1,dropout030_delay2_relay_failure_early,1,1,45,24,45,1,17.0,6ad636d4a0cf1235
full,1,dropout030_delay2_relay_failure_early,2,1,45,24,45,1,17.0,f289a20f2d397e86
full,1,dropout030_delay2_relay_failure_early,3,1,45,24,45,1,17.0,05f7a3face179437
full,1,dropout030_delay2_relay_failure_early,5,1,46,24,46,1,18.0,370fc6543f84d878
full,1,dropout030_delay2_relay_failure_early,6,1,46,24,46,1,18.0,3959ddcf96e91165
full,1,dropout030_delay2_relay_failure_early,4,1,47,24,47,1,19.0,ec296d64113f3f36
full,1,dropout030_delay2_relay_failure_early,7,1,47,24,47,1,19.0,a42bc7aeeaf5abb7
full,1,dropout030_delay2_relay_failure_early,9,1,44,24,44,1,16.0,3f13768f9ef54197
full,1,dropout030_delay2_relay_failure_early,8,1,47,24,47,1,19.0,613db2329100c123
full,1,dropout030_delay2_relay_failure_early,11,1,47,24,47,1,19.0,e5cecad07d47b157
full,1,dropout030_delay2_relay_failure_early,10,1,48,24,48,1,20.0,460c81315aad310e
full,1,dropout030_delay2_relay_failure_early,15,1,44,24,44,1,16.0,14b9e32020300584
full,1,dropout030_delay2_relay_failure_early,12,1,46,24,46,1,18.0,e3db28d66a745ee5
full,1,dropout030_delay2_relay_failure_early,13,1,47,24,47,1,19.0,b3b73a51a4d426c6
full,1,dropout030_delay2_relay_failure_early,14,1,49,24,49,1,21.0,64294c9e46667b95
full,1,dropout030_delay2_relay_failure_early,19,1,45,24,45,1,17.0,7e6507bf5f33961e
full,1,dropout030_delay2_relay_failure_early,16,1,47,24,47,1,19.0,e78482aa12806af0
full,1,dropout030_delay2_relay_failure_early,17,1,47,24,47,1,19.0,90d8695d345bd2ff
full,1,dropout030_delay2_relay_failure_early,18,1,48,24,48,1,20.0,3d157943952b3eb9
full,1,dropout030_delay2_relay_failure_early,20,1,44,24,44,1,16.0,b8095639f6df9ed9
full,1,dropout030_delay2_relay_failure_early,23,1,44,24,44,1,16.0,209981174390453d
full,1,dropout030_delay2_relay_failure_early,21,1,46,24,46,1,18.0,00153fc7e9b11b74
full,1,dropout030_delay2_relay_failure_early,22,1,50,24,50,1,22.0,5a67db4a4edc82f3
full,1,dropout030_delay2_relay_failure_early,27,1,44,24,44,1,16.0,686fa9114dffcbd7
full,1,dropout030_delay2_relay_failure_early,25,1,45,24,45,1,17.0,656e55807ca03b7f
full,1,dropout030_delay2_relay_failure_early,24,1,47,24,47,1,19.0,9ff25b5ebcdcc54e
full,1,dropout030_delay2_relay_failure_early,26,1,48,24,48,1,20.0,5cb42766e17ca947
full,1,dropout030_delay2_relay_failure_early,30,1,45,24,45,1,17.0,5fd32a0e4cc54041
full,1,dropout030_delay2_relay_failure_early,31,1,45,24,45,1,17.0,3324f48f0d45b161
full,1,dropout030_delay2_relay_failure_early,29,1,47,24,47,1,19.0,e8d17f6765e19cdf
full,1,dropout030_delay2_relay_failure_early,28,1,48,24,48,1,20.0,60e96a009f721283
full,1,dropout030_delay2_relay_failure_early,33,1,44,24,44,1,16.0,7d51d6449b5bc579
full,1,dropout030_delay2_relay_failure_early,35,1,44,24,44,1,16.0,039a014ed9caab57
full,1,dropout030_delay2_relay_failure_early,34,1,46,24,46,1,18.0,b48a49abaaf71425
full,1,dropout030_delay2_relay_failure_early,32,1,52,24,52,1,24.0,60be02b9de70e6ef
full,1,dropout030_delay2_relay_failure_early,39,1,45,24,45,1,17.0,071db9913e20f758
full,1,dropout030_delay2_relay_failure_early,37,1,46,24,46,1,18.0,845834133144ff97
full,1,dropout030_delay2_relay_failure_early,38,1,47,24,47,1,19.0,74ea6aecc2fd0002
full,1,dropout030_delay2_relay_failure_early,36,1,50,24,50,1,22.0,a0895958db65e469
full,1,dropout030_delay2_relay_failure_early,41,1,44,24,44,1,16.0,081fa9d3d2147349
full,1,dropout030_delay2_relay_failure_early,40,1,45,24,45,1,17.0,66f20a6965e34f28
full,1,dropout030_delay2_relay_failure_early,43,1,45,24,45,1,17.0,9cdca470923df3bc
full,1,dropout030_delay2_relay_failure_early,42,1,48,24,48,1,20.0,0e12c375c4fcf9ff
full,1,dropout030_delay2_relay_failure_early,46,1,44,24,44,1,16.0,5a7ff5ac76e0a18e
full,1,dropout030_delay2_relay_failure_early,44,1,45,24,45,1,17.0,2006b8b43543a4b3
full,1,dropout030_delay2_relay_failure_early,47,1,47,24,47,1,19.0,acb361fafcfd0046
full,1,dropout030_delay2_relay_failure_early,45,1,50,24,50,1,22.0,3716072608190a45
full,1,dropout030_delay2_relay_failure_early,49,1,44,24,44,1,16.0,9d84122e6e9ffa43
full,1,dropout030_delay2_relay_failure_early,50,1,46,24,46,1,18.0,6ba60b1d1b4f5dce
full,1,dropout030_delay2_relay_failure_early,51,1,46,24,46,1,18.0,0846a08a9a24e8da
full,1,dropout030_delay2_relay_failure_early,48,1,48,24,48,1,20.0,deecd9d0663f6e67
full,1,dropout030_delay2_relay_failure_early,52,1,45,24,45,1,17.0,8add4c580c7c7d7c
full,1,dropout030_delay2_relay_failure_early,53,1,45,24,45,1,17.0,d80afd111c5bf3b4
full,1,dropout030_delay2_relay_failure_early,55,1,45,24,45,1,17.0,77be04c8ff7369ef
full,1,dropout030_delay2_relay_failure_early,54,1,46,24,46,1,18.0,6136018edc2147a9
full,1,dropout030_delay2_relay_failure_early,58,1,44,24,44,1,16.0,a3f87ffe986ddcd0
full,1,dropout030_delay2_relay_failure_early,56,1,45,24,45,1,17.0,e8eaddc05cc6470d
full,1,dropout030_delay2_relay_failure_early,57,1,46,24,46,1,18.0,0ff009510132084e
full,1,dropout030_delay2_relay_failure_early,59,1,46,24,46,1,18.0,6daae226c4b27ed4
full,1,dropout030_delay2_relay_failure_early,60,1,46,24,46,1,18.0,8a2d444423288731
full,1,dropout030_delay2_relay_failure_early,62,1,46,24,46,1,18.0,0a2a0c7c22bf99ff
full,1,dropout030_delay2_relay_failure_early,63,1,46,24,46,1,18.0,438548e7d3e83c5c
full,1,dropout030_delay2_relay_failure_early,61,1,49,24,49,1,21.0,286416597698bf4c
full,1,dropout030_delay2_relay_failure_early,64,1,45,24,45,1,17.0,a87205a337f71d84
full,1,dropout030_delay2_relay_failure_early,65,1,47,24,47,1,19.0,0981f7040052ac53
full,1,dropout030_delay2_relay_failure_early,67,1,48,24,48,1,20.0,7860804144a6022a
full,1,dropout030_delay2_relay_failure_early,66,1,52,24,52,1,24.0,4c118eb46e968a1b
full,1,dropout030_delay2_relay_failure_early,68,1,46,24,46,1,18.0,6c43540ff60b5d50
full,1,dropout030_delay2_relay_failure_early,69,1,47,24,47,1,19.0,300bac3568a4b725
full,1,dropout030_delay2_relay_failure_early,70,1,52,24,52,1,24.0,7b960ddf1024477c
full,1,dropout030_delay2_relay_failure_early,71,0,260,24,-1,0,235.0,33884e18221f9aea
full,1,dropout030_delay2_relay_failure_early,74,1,46,24,46,1,18.0,5fae4fe1bf0970d2
full,1,dropout030_delay2_relay_failure_early,73,1,48,24,48,1,20.0,2a28e43c8a1164a7
full,1,dropout030_delay2_relay_failure_early,75,1,49,24,49,1,21.0,c90be3c05b8ff58e
full,1,dropout030_delay2_relay_failure_early,72,0,260,24,-1,0,235.0,4ddb357fed1fe3af
full,1,dropout030_delay2_relay_failure_early,77,1,47,24,47,1,19.0,9a31756160632925
full,1,dropout030_delay2_relay_failure_early,78,1,47,24,47,1,19.0,512e614f4151d85d
full,1,dropout030_delay2_relay_failure_early,79,1,47,24,47,1,19.0,7adb4ec0c6e9d4bd
full,1,dropout030_delay2_relay_failure_early,76,1,48,24,48,1,20.0,e6de7f9b14ec048a
full,1,dropout030_delay2_relay_failure_early,80,1,44,24,44,1,16.0,7fa676b339250df0
full,1,dropout030_delay2_relay_failure_early,83,1,44,24,44,1,16.0,ee388a7c05ed303f
full,1,dropout030_delay2_relay_failure_early,81,1,46,24,46,1,18.0,12e4ef3cada146f5
full,1,dropout030_delay2_relay_failure_early,82,1,47,24,47,1,19.0,7543fbbabd566e76
full,1,dropout030_delay2_relay_failure_early,87,1,45,24,45,1,17.0,e045db93078e47bd
full,1,dropout030_delay2_relay_failure_early,84,1,46,24,46,1,18.0,197473c39cf7fc95
full,1,dropout030_delay2_relay_failure_early,86,1,47,24,47,1,19.0,db078226ec5bdfc3
full,1,dropout030_delay2_relay_failure_early,85,1,48,24,48,1,20.0,4461653862d647c3
full,1,dropout030_delay2_relay_failure_early,88,1,45,24,45,1,17.0,ae9273fbedffce8e
full,1,dropout030_delay2_relay_failure_early,89,1,46,24,46,1,18.0,a8db422d0f036541
full,1,dropout030_delay2_relay_failure_early,91,1,46,24,46,1,18.0,ad472cabd54a402b
full,1,dropout030_delay2_relay_failure_early,90,1,50,24,50,1,22.0,df47136dba182b37
full,1,dropout030_delay2_relay_failure_early,93,1,44,24,44,1,16.0,b6d448103be8944c
full,1,dropout030_delay2_relay_failure_early,95,1,45,24,45,1,17.0,5a8727cdd358f641
full,1,dropout030_delay2_relay_failure_early,92,1,48,24,48,1,20.0,64ce5a15ec086b15
full,1,dropout030_delay2_relay_failure_early,94,1,49,24,49,1,21.0,f42a559587ecd580
full,1,dropout030_delay2_relay_failure_early,98,1,44,24,44,1,16.0,742ca8e1cd324b96
full,1,dropout030_delay2_relay_failure_early,96,1,45,24,45,1,17.0,828c5f207c70ccb3
full,1,dropout030_delay2_relay_failure_early,97,1,47,24,47,1,19.0,d22d884fad53f204
full,1,dropout030_delay2_relay_failure_early,99,1,49,24,49,1,21.0,b44dbc3e4ffdf9d7
full,2,dropout030_delay2_relay_failure,2,1,45,39,45,1,2.0,a08e71f16cd02711
full,2,dropout030_delay2_relay_failure,0,0,260,39,-1,0,220.0,8d95751b2248d6be
full,2,dropout030_delay2_relay_failure,1,0,260,39,-1,0,220.0,3b20965c75dbf3f9
full,2,dropout030_delay2_relay_failure,3,0,260,39,-1,0,220.0,4eb009a8cd607f59
full,2,dropout030_delay2_relay_failure,4,1,46,39,46,1,3.0,768ca5ddea9e3550
full,2,dropout030_delay2_relay_failure,7,1,46,39,46,1,3.0,0badcf51b3520f04
full,2,dropout030_delay2_relay_failure,5,0,260,39,-1,0,220.0,f145f7f60ff2d1d4
full,2,dropout030_delay2_relay_failure,6,0,260,39,-1,0,220.0,a26bb1ea82c9ce05
full,2,dropout030_delay2_relay_failure,11,1,45,39,45,1,2.0,7825f9baf1ce0e5e
full,2,dropout030_delay2_relay_failure,8,1,46,39,46,1,3.0,3bee2978d0562486
full,2,dropout030_delay2_relay_failure,10,1,47,39,47,1,4.0,720c428ac1522490
full,2,dropout030_delay2_relay_failure,9,0,260,39,-1,0,220.0,a24f4a2e84e6055f
full,2,dropout030_delay2_relay_failure,15,1,44,39,44,1,1.0,c6f63ea32f40e366
full,2,dropout030_delay2_relay_failure,12,1,46,39,46,1,3.0,f576b709bf1a912f
full,2,dropout030_delay2_relay_failure,13,1,46,39,46,1,3.0,3f5f5f6508cedfd7
full,2,dropout030_delay2_relay_failure,14,1,48,39,48,1,5.0,757523b401c65098
full,2,dropout030_delay2_relay_failure,19,1,44,39,44,1,1.0,76534152874c1cb5
full,2,dropout030_delay2_relay_failure,16,1,46,39,46,1,3.0,1ab9965d2bd6e098
full,2,dropout030_delay2_relay_failure,17,1,46,39,46,1,3.0,98ea365b08ae56cb
full,2,dropout030_delay2_relay_failure,18,1,47,39,47,1,4.0,8b03339f233f67c4
full,2,dropout030_delay2_relay_failure,20,1,44,39,44,1,1.0,eb7873abc5e8506e
full,2,dropout030_delay2_relay_failure,23,1,44,39,44,1,1.0,466b4f99e3b764c6
full,2,dropout030_delay2_relay_failure,21,1,46,39,46,1,3.0,b9f6ff52ccf70dc7
full,2,dropout030_delay2_relay_failure,22,1,46,39,46,1,3.0,1520d078a385b0df
full,2,dropout030_delay2_relay_failure,25,1,44,39,44,1,1.0,10e5517afe54ca08
full,2,dropout030_delay2_relay_failure,24,1,46,39,46,1,3.0,7c5b0ff8216b8fd4
full,2,dropout030_delay2_relay_failure,26,1,46,39,46,1,3.0,db5ae29e31c6326f
full,2,dropout030_delay2_relay_failure,27,0,260,39,-1,0,220.0,433040cf22a340cc
full,2,dropout030_delay2_relay_failure,31,1,45,39,45,1,2.0,5a536113695c3f13
full,2,dropout030_delay2_relay_failure,28,1,46,39,46,1,3.0,31556f7a04b9bb83
full,2,dropout030_delay2_relay_failure,29,1,46,39,46,1,3.0,f42bbff364f835e5
full,2,dropout030_delay2_relay_failure,30,0,260,39,-1,0,220.0,c2e683ad615cb664
full,2,dropout030_delay2_relay_failure,34,1,45,39,45,1,2.0,6c7476316d8e03a6
full,2,dropout030_delay2_relay_failure,32,1,49,39,49,1,6.0,cb46a56e189963e4
full,2,dropout030_delay2_relay_failure,33,0,260,39,-1,0,220.0,52eaa981e20bb08f
full,2,dropout030_delay2_relay_failure,35,0,260,39,-1,0,220.0,556253e210bc572a
full,2,dropout030_delay2_relay_failure,39,1,44,39,44,1,1.0,db05305c4e6fbd65
full,2,dropout030_delay2_relay_failure,37,1,45,39,45,1,2.0,45c0a0727d56311b
full,2,dropout030_delay2_relay_failure,38,1,46,39,46,1,3.0,b7a41cc221377f00
full,2,dropout030_delay2_relay_failure,36,1,47,39,47,1,4.0,8d3787a085055d06
full,2,dropout030_delay2_relay_failure,40,1,45,39,45,1,2.0,af451e1155610d9f
full,2,dropout030_delay2_relay_failure,43,1,45,39,45,1,2.0,f3e2f998718bcea9
full,2,dropout030_delay2_relay_failure,42,1,46,39,46,1,3.0,e9669cc5f3e9d741
full,2,dropout030_delay2_relay_failure,41,0,260,39,-1,0,220.0,2221ce41b8b6bd51
full,2,dropout030_delay2_relay_failure,44,1,45,39,45,1,2.0,066ac7ce8bec3502
full,2,dropout030_delay2_relay_failure,47,1,46,39,46,1,3.0,73e75813c6b564c1
full,2,dropout030_delay2_relay_failure,45,1,47,39,47,1,4.0,75c8e3decc9862d5
full,2,dropout030_delay2_relay_failure,46,0,260,39,-1,0,220.0,99c49762d3a3fae9
full,2,dropout030_delay2_relay_failure,49,1,44,39,44,1,1.0,8371f79d32e56256
full,2,dropout030_delay2_relay_failure,50,1,45,39,45,1,2.0,c3feaa87d3a3a0c0
full,2,dropout030_delay2_relay_failure,51,1,45,39,45,1,2.0,5195425a3c902ef1
full,2,dropout030_delay2_relay_failure,48,1,46,39,46,1,3.0,8d6c22558bf0a3d1
full,2,dropout030_delay2_relay_failure,53,1,44,39,44,1,1.0,3545e82c6741d7e9
full,2,dropout030_delay2_relay_failure,52,1,45,39,45,1,2.0,8e2236ab919ceb61
full,2,dropout030_delay2_relay_failure,54,1,45,39,45,1,2.0,6f04321ef2565aec
full,2,dropout030_delay2_relay_failure,55,1,45,39,45,1,2.0,d2849bedebd556d6
full,2,dropout030_delay2_relay_failure,58,1,45,39,45,1,2.0,d376ce79967fe48f
full,2,dropout030_delay2_relay_failure,57,1,46,39,46,1,3.0,b8b251a7748f4662
full,2,dropout030_delay2_relay_failure,56,0,260,39,-1,0,220.0,73ce732f2ad95507
full,2,dropout030_delay2_relay_failure,59,0,260,39,-1,0,220.0,207fefb058fecca6
full,2,dropout030_delay2_relay_failure,60,1,45,39,45,1,2.0,171baf0c6cfa400c
full,2,dropout030_delay2_relay_failure,62,1,45,39,45,1,2.0,99169f8af97b62c5
full,2,dropout030_delay2_relay_failure,63,1,46,39,46,1,3.0,57bb511b41e95592
full,2,dropout030_delay2_relay_failure,61,0,260,39,-1,0,220.0,35c7b0f303ffa27b
full,2,dropout030_delay2_relay_failure,64,1,44,39,44,1,1.0,a6b911406cb8f6fd
full,2,dropout030_delay2_relay_failure,65,1,46,39,46,1,3.0,3332a87d27b9f71f
full,2,dropout030_delay2_relay_failure,67,1,46,39,46,1,3.0,057493dd3b4d37c9
full,2,dropout030_delay2_relay_failure,66,1,48,39,48,1,5.0,18ce9fdcc5de58e9
full,2,dropout030_delay2_relay_failure,68,1,45,39,45,1,2.0,6e4d48833c02ff1b
full,2,dropout030_delay2_relay_failure,69,1,46,39,46,1,3.0,5e424e4a2f316d06
full,2,dropout030_delay2_relay_failure,70,1,48,39,48,1,5.0,12d9a2e05487fd98
full,2,dropout030_delay2_relay_failure,71,1,48,39,48,1,5.0,ce6117d4b8d326d1
full,2,dropout030_delay2_relay_failure,74,1,45,39,45,1,2.0,650414ed9a9389e2
full,2,dropout030_delay2_relay_failure,73,1,46,39,46,1,3.0,9e73765c4eeacfc2
full,2,dropout030_delay2_relay_failure,72,1,47,39,47,1,4.0,d9ed20ad5590f1af
full,2,dropout030_delay2_relay_failure,75,1,47,39,47,1,4.0,91521690846f36dc
full,2,dropout030_delay2_relay_failure,77,1,46,39,46,1,3.0,1cf65d6ed72b61cb
full,2,dropout030_delay2_relay_failure,78,1,46,39,46,1,3.0,166e2b5ead57291f
full,2,dropout030_delay2_relay_failure,76,1,47,39,47,1,4.0,a44b5987d14ce676
full,2,dropout030_delay2_relay_failure,79,0,260,39,-1,0,220.0,1ebcf1aef0773a1a
full,2,dropout030_delay2_relay_failure,83,1,44,39,44,1,1.0,599ae3a8618dcfb1
full,2,dropout030_delay2_relay_failure,81,1,46,39,46,1,3.0,6e7860fa0b25b4a1
full,2,dropout030_delay2_relay_failure,82,1,46,39,46,1,3.0,6782f5041dc882fd
full,2,dropout030_delay2_relay_failure,80,0,260,39,-1,0,220.0,d11f0c6f7e59e418
full,2,dropout030_delay2_relay_failure,87,1,44,39,44,1,1.0,5290db33f77fa70f
full,2,dropout030_delay2_relay_failure,86,1,45,39,45,1,2.0,086255f403740d75
full,2,dropout030_delay2_relay_failure,85,1,47,39,47,1,4.0,c35a8dd790ba8d51
full,2,dropout030_delay2_relay_failure,84,0,260,39,-1,0,220.0,005fd715a9fd18b8
full,2,dropout030_delay2_relay_failure,88,1,45,39,45,1,2.0,b194aafbbf237d5b
full,2,dropout030_delay2_relay_failure,89,1,45,39,45,1,2.0,342c46c28291e72b
full,2,dropout030_delay2_relay_failure,91,1,45,39,45,1,2.0,9fb0ff6b027196b8
full,2,dropout030_delay2_relay_failure,90,1,47,39,47,1,4.0,ac13258e7f5e4c21
full,2,dropout030_delay2_relay_failure,92,1,47,39,47,1,4.0,59519feff1ea2579
full,2,dropout030_delay2_relay_failure,94,1,47,39,47,1,4.0,f48a284f1159fc97
full,2,dropout030_delay2_relay_failure,93,0,260,39,-1,0,220.0,2eea18f678f108c2
full,2,dropout030_delay2_relay_failure,95,0,260,39,-1,0,220.0,6fce7356957dfbb5
full,2,dropout030_delay2_relay_failure,97,1,46,39,46,1,3.0,7bc922b336e83de0
full,2,dropout030_delay2_relay_failure,99,1,47,39,47,1,4.0,255abc3b3031f23e
full,2,dropout030_delay2_relay_failure,96,0,260,39,-1,0,220.0,975f18b1c3e2d0a2
full,2,dropout030_delay2_relay_failure,98,0,260,39,-1,0,220.0,d220d34753841413
full,2,dropout030_delay2_relay_failure_early,2,1,45,24,45,1,17.0,4c011dba3686516d
full,2,dropout030_delay2_relay_failure_early,0,0,260,24,-1,0,235.0,edd697fa032e1153
full,2,dropout030_delay2_relay_failure_early,1,0,260,24,-1,0,235.0,54a960ee2168a5c4
full,2,dropout030_delay2_relay_failure_early,3,0,260,24,-1,0,235.0,941461e4f916320e
full,2,dropout030_delay2_relay_failure_early,4,1,46,24,46,1,18.0,e44c3803fd306c6b
full,2,dropout030_delay2_relay_failure_early,7,1,46,24,46,1,18.0,8b6b05857c621117
full,2,dropout030_delay2_relay_failure_early,5,0,260,24,-1,0,235.0,bc8c37391f439715
full,2,dropout030_delay2_relay_failure_early,6,0,260,24,-1,0,235.0,d532dadecd625dde
full,2,dropout030_delay2_relay_failure_early,8,1,46,24,46,1,18.0,451704394a653a74
full,2,dropout030_delay2_relay_failure_early,11,1,46,24,46,1,18.0,fdfb3382ac22a338
full,2,dropout030_delay2_relay_failure_early,10,1,47,24,47,1,19.0,25fecb0a3dcd9044
full,2,dropout030_delay2_relay_failure_early,9,0,260,24,-1,0,235.0,85f5e5d8319d1e6f
full,2,dropout030_delay2_relay_failure_early,12,1,46,24,46,1,18.0,33f2c8963ffe25d2
full,2,dropout030_delay2_relay_failure_early,13,1,46,24,46,1,18.0,ff6bc16274df0a0e
full,2,dropout030_delay2_relay_failure_early,14,1,47,24,47,1,19.0,df77763bb4f652f5
full,2,dropout030_delay2_relay_failure_early,15,0,260,24,-1,0,235.0,b1a7c808b8aa21ca
full,2,dropout030_delay2_relay_failure_early,16,1,46,24,46,1,18.0,cc4280dd648b38e9
full,2,dropout030_delay2_relay_failure_early,17,1,46,24,46,1,18.0,25ef765d064e3d92
full,2,dropout030_delay2_relay_failure_early,18,1,47,24,47,1,19.0,8d6a005244e15b41
full,2,dropout030_delay2_relay_failure_early,19,0,260,24,-1,0,235.0,49557f1b1c4c48fc
full,2,dropout030_delay2_relay_failure_early,20,1,44,24,44,1,16.0,224ec6e9ea1f19ea
full,2,dropout030_delay2_relay_failure_early,21,1,46,24,46,1,18.0,8ae02dbb5250d7e6
full,2,dropout030_delay2_relay_failure_early,22,1,46,24,46,1,18.0,d81443c5fe329e38
full,2,dropout030_delay2_relay_failure_early,23,0,260,24,-1,0,235.0,9414f4ed690a1c98
full,2,dropout030_delay2_relay_failure_early,24,1,46,24,46,1,18.0,1bc709a341e980a2
full,2,dropout030_delay2_relay_failure_early,26,1,47,24,47,1,19.0,103fb784aa793aee
full,2,dropout030_delay2_relay_failure_early,25,0,260,24,-1,0,235.0,9910b505e64f8132
full,2,dropout030_delay2_relay_failure_early,27,0,260,24,-1,0,235.0,58aab071f489562b
full,2,dropout030_delay2_relay_failure_early,31,1,45,24,45,1,17.0,4aac7274420ab4eb
full,2,dropout030_delay2_relay_failure_early,28,1,46,24,46,1,18.0,abb7950c23d8fa02
full,2,dropout030_delay2_relay_failure_early,29,1,46,24,46,1,18.0,09b1033f173e9b58
full,2,dropout030_delay2_relay_failure_early,30,0,260,24,-1,0,235.0,76a67d3671f5d4f1
full,2,dropout030_delay2_relay_failure_early,34,1,46,24,46,1,18.0,74f1708eb7e7fc87
full,2,dropout030_delay2_relay_failure_early,32,1,50,24,50,1,22.0,fa3ceab7c40e1f4c
full,2,dropout030_delay2_relay_failure_early,33,0,260,24,-1,0,235.0,a0229b8b25b48a7d
full,2,dropout030_delay2_relay_failure_early,35,0,260,24,-1,0,235.0,ced53d5fe39a6611
full,2,dropout030_delay2_relay_failure_early,37,1,45,24,45,1,17.0,32ae8e787b8fa17a
full,2,dropout030_delay2_relay_failure_early,38,1,46,24,46,1,18.0,87f6a77417053e32
full,2,dropout030_delay2_relay_failure_early,36,1,47,24,47,1,19.0,835e4199e76c39c7
full,2,dropout030_delay2_relay_failure_early,39,0,260,24,-1,0,235.0,d05560398ce5e29a
full,2,dropout030_delay2_relay_failure_early,40,1,45,24,45,1,17.0,ce5288e03abab252
full,2,dropout030_delay2_relay_failure_early,42,1,46,24,46,1,18.0,7988e5586274db18
full,2,dropout030_delay2_relay_failure_early,41,0,260,24,-1,0,235.0,0124d3f7e7a69b4f
full,2,dropout030_delay2_relay_failure_early,43,0,260,24,-1,0,235.0,487e380b63b80ec8
full,2,dropout030_delay2_relay_failure_early,44,1,45,24,45,1,17.0,58157404209ee768
full,2,dropout030_delay2_relay_failure_early,47,1,46,24,46,1,18.0,91f20e6212355656
full,2,dropout030_delay2_relay_failure_early,45,1,47,24,47,1,19.0,09efc1eea9fa8b7e
full,2,dropout030_delay2_relay_failure_early,46,0,260,24,-1,0,235.0,723694759ce3de54
full,2,dropout030_delay2_relay_failure_early,50,1,45,24,45,1,17.0,764ccfcc630d4759
full,2,dropout030_delay2_relay_failure_early,51,1,45,24,45,1,17.0,293617bc6a8b56fa
full,2,dropout030_delay2_relay_failure_early,48,1,46,24,46,1,18.0,1ea56f0376a80562
full,2,dropout030_delay2_relay_failure_early,49,0,260,24,-1,0,235.0,87124fb6980a59b4
full,2,dropout030_delay2_relay_failure_early,53,1,44,24,44,1,16.0,e31e4a4a54dbb64c
full,2,dropout030_delay2_relay_failure_early,52,1,45,24,45,1,17.0,2913a9a00dff8833
full,2,dropout030_delay2_relay_failure_early,54,1,45,24,45,1,17.0,a6f0ddcee68ff24b
full,2,dropout030_delay2_relay_failure_early,55,1,45,24,45,1,17.0,577fb022bafa8afb
full,2,dropout030_delay2_relay_failure_early,58,1,44,24,44,1,16.0,78307a9aa0d802c0
full,2,dropout030_delay2_relay_failure_early,56,1,45,24,45,1,17.0,835b5faaead8addd
full,2,dropout030_delay2_relay_failure_early,57,1,46,24,46,1,18.0,8204adb12e4f314d
full,2,dropout030_delay2_relay_failure_early,59,0,260,24,-1,0,235.0,1a7c310ee984569f
full,2,dropout030_delay2_relay_failure_early,62,1,45,24,45,1,17.0,31678346c70170a6
full,2,dropout030_delay2_relay_failure_early,63,1,46,24,46,1,18.0,fa7d1dfdc4be7720
full,2,dropout030_delay2_relay_failure_early,61,1,47,24,47,1,19.0,0113429a9db01aa0
full,2,dropout030_delay2_relay_failure_early,60,0,260,24,-1,0,235.0,8cf5fb3f0d17d43e
full,2,dropout030_delay2_relay_failure_early,65,1,46,24,46,1,18.0,47946294dd20d9ca
full,2,dropout030_delay2_relay_failure_early,67,1,46,24,46,1,18.0,2df755fe54fc1dac
full,2,dropout030_delay2_relay_failure_early,66,1,48,24,48,1,20.0,3bafcbb276d10f31
full,2,dropout030_delay2_relay_failure_early,64,0,260,24,-1,0,235.0,6c337cef10f85cdb
full,2,dropout030_delay2_relay_failure_early,68,1,45,24,45,1,17.0,2f9822aeea4bdf21
full,2,dropout030_delay2_relay_failure_early,69,1,46,24,46,1,18.0,43f62f301da5ae14
full,2,dropout030_delay2_relay_failure_early,70,1,48,24,48,1,20.0,151a88027a2fbe9f
full,2,dropout030_delay2_relay_failure_early,71,1,49,24,49,1,21.0,673b579ae8f26229
full,2,dropout030_delay2_relay_failure_early,74,1,45,24,45,1,17.0,964226b0df9fa6fe
full,2,dropout030_delay2_relay_failure_early,73,1,46,24,46,1,18.0,fcf193758d7dcab8
full,2,dropout030_delay2_relay_failure_early,72,1,47,24,47,1,19.0,c77b3f4b4b38fa11
full,2,dropout030_delay2_relay_failure_early,75,1,47,24,47,1,19.0,06b5c81abc58a967
full,2,dropout030_delay2_relay_failure_early,79,1,45,24,45,1,17.0,ee143d8293154711
full,2,dropout030_delay2_relay_failure_early,77,1,46,24,46,1,18.0,a5a0d12868f21c89
full,2,dropout030_delay2_relay_failure_early,78,1,46,24,46,1,18.0,f3eac49ea2f3c595
full,2,dropout030_delay2_relay_failure_early,76,1,47,24,47,1,19.0,20d508756b76f42f
full,2,dropout030_delay2_relay_failure_early,81,1,46,24,46,1,18.0,8886e86108202fdd
full,2,dropout030_delay2_relay_failure_early,82,1,46,24,46,1,18.0,cefe4107bb24eae1
